station_id,physical_configuration,latitud,longitud,address,post_code,capacity,last_updated
133.0,ELECTRICBIKESTATION,41.4075013,2.1930174,"GRAN VIA DE LES CORTS CATALANES, 902",08018,16.0,1759269304.0
134.0,ELECTRICBIKESTATION,41.4113024,2.1987258,"C/ BAC DE RODA, 157",08018,21.0,1759269304.0
135.0,ELECTRICBIKESTATION,41.4120452,2.1972673,"GRAN VIA DE LES CORTS CATALANES,  981",08018,21.0,1759269304.0
136.0,ELECTRICBIKESTATION,41.4139298,2.2017955,"GRAN VIA DE LES CORTS CATALANES,  1062",08020,31.0,1759269304.0
137.0,ELECTRICBIKESTATION,41.4145805,2.2008139,"GRAN VIA DE LES CORTS CATALANES, 1041",08020,25.0,1759269304.0
138.0,ELECTRICBIKESTATION,41.4167933,2.2058345,"GRAN VIA DE LES CORTS CATALANES, 1118",08020,21.0,1759269304.0
139.0,ELECTRICBIKESTATION,41.4183999,2.2058133,"GRAN VIA DE LES CORTS CATALANES,  1131",08020,35.0,1759269304.0
140.0,ELECTRICBIKESTATION,41.3808772,2.1559939,"C/ VILADOMAT, 122",08015,27.0,1759269304.0
141.0,ELECTRICBIKESTATION,41.4090202,2.1954152,"C/ BILBAO, 174",08018,32.0,1759269304.0
142.0,ELECTRICBIKESTATION,41.4003793,2.1924144,"C/ SANCHO DE ÃVILA,  104 - C/ BADAJOZ",08018,52.0,1759269304.0
143.0,ELECTRICBIKESTATION,41.4027907,2.1956161,"C/ SANCHO DE ÃVILA, 170 / LLACUNA",08018,27.0,1759269304.0
144.0,ELECTRICBIKESTATION,41.4056269,2.1977119,"C/ CASTELLA,  28 / DIAGONAL",08018,27.0,1759269304.0
145.0,ELECTRICBIKESTATION,41.4093405,2.2024461,"C/ PERE IV,  301 / FLUVIÃ",08020,27.0,1759269304.0
146.0,ELECTRICBIKESTATION,41.4148983,2.207186,"C/ PERE IV, 488",08019,24.0,1759269304.0
147.0,ELECTRICBIKESTATION,41.416043,2.2124993,"RAMBLA PRIM, 79",08019,33.0,1759269304.0
148.0,ELECTRICBIKESTATION,41.3783467,2.1633139,"RONDA SANT PAU, 79",08015,27.0,1759269304.0
149.0,ELECTRICBIKESTATION,41.3958685,2.192952,"C/ PUJADES, 57B",08019,26.0,1759269304.0
150.0,ELECTRICBIKESTATION,41.4065912,2.203028,"C/ ESPRONCEDA, 124",08005,27.0,1759269304.0
151.0,ELECTRICBIKESTATION,41.4003471,2.1969105,"C/ PALLARS, 182",08005,31.0,1759269304.0
152.0,ELECTRICBIKESTATION,41.3993329,2.1974184,"C/ PUJADES, 121",08005,39.0,1759269304.0
153.0,ELECTRICBIKESTATION,41.4018686,2.20077,"C/ PUJADES, 173/RBLA POBLE NOU",08005,23.0,1759269304.0
154.0,ELECTRICBIKESTATION,41.4026275,2.2017694,"C/ PUJADES, 191",08005,32.0,1759269304.0
155.0,ELECTRICBIKESTATION,41.4070139,2.2074469,"C/ PUJADES, 311/ FLUVIÃ",08019,32.0,1759269304.0
156.0,ELECTRICBIKESTATION,41.4091355,2.2088179,"C/ SELVA DE MAR, 46",08019,27.0,1759269304.0
157.0,ELECTRICBIKESTATION,41.4132316,2.2177652,"C/ LLULL, 465",08019,33.0,1759269304.0
158.0,ELECTRICBIKESTATION,41.4116634,2.2183313,"RAMBLA DE PRIM, 19",08019,31.0,1759269304.0
159.0,ELECTRICBIKESTATION,41.4110822,2.2163136,"AV. DIAGONAL, 26",08019,36.0,1759269304.0
160.0,ELECTRICBIKESTATION,41.4109763,2.2193724,"AV. D'EDUARD MARISTANY, 1 /FORUM",08019,33.0,1759269304.0
161.0,ELECTRICBIKESTATION,41.3953011,2.1965965,"C/ RAMON TURRÃ, 91",08005,27.0,1759269304.0
162.0,ELECTRICBIKESTATION,41.4038559,2.2084257,"C/ RAMON TURRÃ, 292",08005,27.0,1759269304.0
